<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.01	01:00:00	3997.53	4012.27	3997.53	4011.38	562	0	107
2026.07.01	01:01:00	4011.38	4012.49	4011.10	4011.77	106	0	94
2026.07.01	01:02:00	4011.77	4014.77	4011.61	4013.97	93	0	35
2026.07.01	01:03:00	4014.10	4014.95	4013.06	4013.78	132	0	21
2026.07.01	01:04:00	4013.78	4014.65	4013.43	4013.83	85	0	29
2026.07.01	01:05:00	4014.00	4016.35	4013.92	4015.87	238	0	1
2026.07.01	01:06:00	4015.87	4016.10	4015.00	4015.49	130	0	0
2026.07.01	01:07:00	4015.49	4016.55	4015.21	4015.92	103	0	16
2026.07.01	01:08:00	4015.92	4016.64	4015.49	4015.62	151	0	0
2026.07.01	01:09:00	4015.49	4017.09	4015.49	4017.07	142	0	0
2026.07.01	01:10:00	4017.07	4017.51	4015.83	4016.18	187	0	0
2026.07.01	01:11:00	4016.18	4016.63	4015.34	4015.65	216	0	0
2026.07.01	01:12:00	4015.63	4016.82	4015.56	4016.05	141	0	0
2026.07.01	01:13:00	4016.05	4016.05	4013.80	4014.36	155	0	0
2026.07.01	01:14:00	4014.36	4014.79	4014.16	4014.59	132	0	0
2026.07.01	01:15:00	4014.59	4016.30	4014.54	4016.20	219	0	0
2026.07.01	01:16:00	4016.20	4016.51	4014.89	4014.95	232	0	0
2026.07.01	01:17:00	4014.95	4015.26	4013.63	4015.08	257	0	0
2026.07.01	01:18:00	4015.08	4015.41	4012.57	4013.59	202	0	0
2026.07.01	01:19:00	4013.59	4015.33	4013.59	4014.47	155	0	0
2026.07.01	01:20:00	4014.62	4014.69	4013.45	4013.77	207	0	2
2026.07.01	01:21:00	4013.77	4013.88	4012.04	4012.66	290	0	0
2026.07.01	01:22:00	4012.66	4013.45	4012.38	4013.33	153	0	0
2026.07.01	01:23:00	4013.33	4013.75	4012.49	4012.57	146	0	0
2026.07.01	01:24:00	4012.57	4013.59	4012.46	4013.14	236	0	0
2026.07.01	01:25:00	4013.15	4015.00	4012.91	4013.79	209	0	0
2026.07.01	01:26:00	4013.79	4014.00	4012.46	4012.78	169	0	0
2026.07.01	01:27:00	4012.79	4014.25	4012.60	4012.90	179	0	0
2026.07.01	01:28:00	4012.90	4013.46	4012.62	4013.04	215	0	0
2026.07.01	01:29:00	4013.04	4014.04	4012.72	4013.82	131	0	0
2026.07.01	01:30:00	4013.82	4013.82	4013.21	4013.61	107	0	0
2026.07.01	01:31:00	4013.61	4014.04	4013.57	4013.85	100	0	0
2026.07.01	01:32:00	4013.85	4015.16	4013.77	4014.61	186	0	0
2026.07.01	01:33:00	4014.61	4015.53	4014.61	4015.41	137	0	0
2026.07.01	01:34:00	4015.41	4015.64	4015.07	4015.25	141	0	0
